source_symbol,feature_name,resolved_hgnc_symbol,mapping_method,mapping_source
ACSL4,O60488,ACSL4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACSL5,Q9ULC5,ACSL5,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACSM1,Q08AH1,ACSM1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACSM3,Q53FZ2,ACSM3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACSS1,Q9NUB1,ACSS1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACSS2,Q9NR19,ACSS2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACSS3,Q9H6R3,ACSS3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACTA1,P68133,ACTA1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACTB,P60709,ACTB,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACTG2,P63267,ACTG2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACTR10,Q9NZ32,ACTR10,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACTR1B,P42025,ACTR1B,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ACTR5,Q9H9F9,ACTR5,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ACVR1B,P36896,ACVR1B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACVR1C,Q8NER5,ACVR1C,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ACVR2A,P27037,ACVR2A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACY1,Q03154,ACY1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ACYP2,P14621,ACYP2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADA,P00813,ADA,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADA2,Q9NZK5,ADA2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAL,Q6DHV7,ADAL,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAM10,O14672,ADAM10,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAM15,Q13444,ADAM15,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAM17,P78536,ADAM17,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ADAMTS2,O95450,ADAMTS2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAMTS4,O75173,ADAMTS4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAMTS5,Q9UNA0,ADAMTS5,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAMTSL4,Q6UY14,ADAMTSL4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAMTSL5,Q6ZMM2,ADAMTSL5,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAP1,O75689,ADAP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADARB1,P78563,ADARB1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADAT3,Q96EY9,ADAT3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADCY3,O60266,ADCY3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADD1,P35611,ADD1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADD2,P35612,ADD2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADD3,Q9UEY8,ADD3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADGRE2,Q9UHX3,ADGRE2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ADGRE5,P48960,ADGRE5,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADGRL2,O95490,ADGRL2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADGRL3,Q9HAR2,ADGRL3,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ADGRL4,Q9HBW9,ADGRL4,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ADGRV1,Q8WXG9,ADGRV1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADH1A,P07327,ADH1A,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ADH1B,P00325,ADH1B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADH1C,P00326,ADH1C,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADIPOQ,Q15848,ADIPOQ,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADIRF,Q15847,ADIRF,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADNP,Q9H2P0,ADNP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADPRH,P54922,ADPRH,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ADPRHL1,Q8NDY3,ADPRHL1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ADSS2,P30520,ADSS2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AEBP1,Q8IUX7,AEBP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AFAP1,Q8N556,AFAP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AFAP1L1,Q8TED9,AFAP1L1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
AFF1,P51825,AFF1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AFF4,Q9UHB7,AFF4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AFG1L,Q8WV93,AFG1L,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
AFTPH,Q6ULP2,AFTPH,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
AGAP1,Q9UPQ3,AGAP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AGFG2,O95081,AGFG2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AGMAT,Q9BSE5,AGMAT,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AGPAT1,Q99943,AGPAT1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AGPAT2,O15120,AGPAT2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
